duration (seconds),emg amplitude
19.855092,4
19.856192,16
19.857384,9
19.858496,16
19.859688,25
19.86088,49
19.862048,100
19.863332,100
19.864616,4
19.86572,169
19.867,576
19.868268,484
19.86954,144
19.870824,4
19.871932,4
19.873032,25
19.874224,25
19.8754,25
19.876592,36
19.87778,81
19.878972,100
19.880248,100
19.881524,0
19.882636,256
19.883908,729
19.885184,484
19.886464,100
19.887732,0
19.888836,9
19.889936,16
19.891132,16
19.892324,25
19.893512,36
19.894696,81
19.895876,81
19.897076,64
19.898276,0
19.89938,196
19.90066,576
19.901924,441
19.903204,121
19.904476,9
19.905584,0
19.906692,4
19.9078,9
19.908904,16
19.910084,36
19.911268,81
19.912452,121
19.913736,81
19.914936,0
19.91604,225
19.917316,576
19.918588,441
19.91986,121
19.921148,4
19.922248,0
19.923356,4
19.924456,1
19.925552,9
19.926656,36
19.927844,64
19.929028,100
19.930312,81
19.931512,0
19.932616,144
19.93388,400
19.935164,289
19.93644,64
19.937636,4
19.93874,0
19.939836,0
19.940944,1
19.942044,9
19.943152,25
19.944336,64
19.945524,121
19.946804,100
19.948084,4
19.949188,144
19.95046,576
19.951744,484
19.953016,144
19.954284,9
19.955396,0
19.9565,4
19.957604,1
19.958704,9
19.959816,25
19.961008,49
19.962188,100
19.96346,121
19.96474,9
19.965844,121
19.967128,484
19.9684,441
19.969672,121
19.970948,9
19.972052,4
19.97316,4
19.974264,4
19.975368,4
19.97648,9
19.97758,36
19.97876,64
19.979948,64
19.981148,4
19.982252,64
19.983448,324
19.984724,361
19.985996,169
19.987268,16
19.98846,1
19.989568,9
19.990668,4
19.991776,4
19.99288,16
19.99406,25
19.995252,64
19.996432,64
19.997636,16
19.998836,49
20.000028,361
20.001292,484
20.002564,225
20.003852,25
20.005052,1
20.006144,9
20.007248,9
20.008348,9
20.009448,16
20.010632,36
20.011828,81
20.013012,64
20.01422,16
20.015408,25
20.016596,324
20.017868,529
20.01914,289
20.020428,49
20.021608,0
20.022724,4
20.023816,9
20.024924,9
20.026024,16
20.027212,49
20.028396,81
20.029592,81
20.030792,25
20.03198,16
20.03316,289
20.034444,484
20.035724,289
20.037,64
20.03818,1
20.039288,1
20.040396,4
20.041496,4
20.0426,25
20.043796,49
20.044972,100
20.046256,121
20.047524,49
20.048724,4
20.049824,256
20.051104,484
20.052384,361
20.053652,100
20.054928,9
20.056036,0
20.057144,1
20.058248,4
